Algorithm,Imputation,Accuracy_Mean,Accuracy_STD,AUC_Mean,AUC_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Mean,F1_STD
KNeighbors,Mean,0.783240223463687,0.022457822617029922,0.7636268837917302,0.024537039075724798,0.7317070693568708,0.041413376947301156,0.6808633686259472,0.05616165832379298,0.7030516491063368,0.028744546492327525
KNeighbors,Median,0.7916201117318435,0.023175942472281063,0.7730171891370939,0.02440210391287659,0.7429632321300791,0.04447269258689934,0.6942576748896326,0.05468316552126452,0.7153934904583125,0.028499269438123268
KNeighbors,Mode,0.782122905027933,0.023303523591747716,0.7633548322188345,0.025332874327313147,0.7262357449720477,0.04108659537506382,0.6848669473187389,0.05069239855444151,0.7033247214086675,0.0313760562116545
LogisticRegression,Mean,0.7910614525139664,0.02761833987554921,0.7709070696103304,0.02418318678718884,0.7457892428078643,0.05965169459242121,0.6873711520136762,0.03523405270162665,0.713577700260345,0.030540832820751315
LogisticRegression,Median,0.7888268156424582,0.026298552616625292,0.7689098266840028,0.02245481642940311,0.7418569023753909,0.05833931002434163,0.6860012889999775,0.033389956231150625,0.7109791478030981,0.02803635652179218
LogisticRegression,Mode,0.7832402234636872,0.02341042105000778,0.7641337491501199,0.02039258855518466,0.7299768217735763,0.04876377578870265,0.6846039897817827,0.035521004137026385,0.7049224945519417,0.02457350818289028
RandomForest,Mean,0.8128491620111731,0.021236399786310853,0.7981073849771114,0.022823248220894207,0.763505903588084,0.03994070031427838,0.7353222110808745,0.041273978672073504,0.7479510941255869,0.026687057118409754
RandomForest,Median,0.8145251396648044,0.019798933124770223,0.799592588489576,0.01949194324252989,0.7679965358559133,0.042198955738151626,0.7356067516346229,0.039412211428088206,0.7498921486745437,0.021091124678423164
RandomForest,Mode,0.8122905027932961,0.019704125238601565,0.7967618199063702,0.022419839752912157,0.7648811051013568,0.03528288577985914,0.7309302223201961,0.04752591480816376,0.7460573844976512,0.025523941417081683
StateVector,Mean,0.8195530726256983,0.021499308832283633,0.799353222394851,0.02215439136100985,0.789190851914523,0.03162661739772839,0.7157430549903884,0.039023360574027624,0.7498778866443102,0.025945183711171986
StateVector,Median,0.8189944134078212,0.021081522082808044,0.798571972394851,0.021846154215348926,0.7888462403857008,0.03144877064122492,0.7141805549903883,0.039184162918014936,0.7488448287930706,0.025713050455375842
StateVector,Mode,0.8195530726256983,0.020457914439777156,0.799010568886079,0.0212701481209972,0.7900891782388083,0.02940970993365489,0.7141805549903883,0.039184162918014936,0.7494125707285544,0.024761691421985425
